iter	Passed	Remaining
1272	77340	2352845
1273	77401	2352800
1274	77466	2352844
1275	77526	2352758
1276	77584	2352615
1277	77644	2352531
1278	77704	2352473
1279	77763	2352356
1280	77822	2352227
1281	77881	2352115
1282	77939	2351970
1283	77997	2351840
1284	78056	2351705
1285	78114	2351573
1286	78173	2351452
1287	78232	2351358
1288	78291	2351243
1289	78357	2351328
1290	78421	2351357
1291	78482	2351322
1292	78541	2351216
1293	78600	2351093
1294	78660	2350998
1295	78719	2350907
1296	78780	2350828
1297	78838	2350705
1298	78896	2350554
1299	78955	2350439
1300	79014	2350339
1301	79074	2350253
1302	79134	2350166
1303	79193	2350063
1304	79251	2349923
1305	79314	2349916
1306	79381	2350051
1307	79450	2350240
1308	79518	2350385
1309	79584	2350486
1310	79644	2350400
1311	79703	2350289
1312	79761	2350151
1313	79820	2350016
1314	79878	2349894
1315	79938	2349798
1316	79996	2349649
1317	80054	2349534
1318	80113	2349414
1319	80174	2349346
1320	80233	2349235
1321	80295	2349216
1322	80356	2349153
1323	80418	2349147
1324	80477	2349041
1325	80538	2348990
1326	80598	2348900
1327	80657	2348775
1328	80716	2348686
1329	80775	2348555
1330	80834	2348450
1331	80893	2348345
1332	80953	2348245
1333	81011	2348119
1334	81069	2347983
1335	81128	2347864
1336	81188	2347785
1337	81247	2347673
1338	81312	2347752
1339	81376	2347779
1340	81437	2347720
1341	81496	2347614
1342	81555	2347490
1343	81614	2347396
1344	81673	2347276
1345	81732	2347177
1346	81792	2347075
1347	81850	2346957
1348	81910	2346861
1349	81969	2346753
1350	82027	2346629
1351	82086	2346497
1352	82145	2346393
1353	82205	2346322
1354	82266	2346261
1355	82328	2346249
1356	82399	2346484
1357	82466	2346586
1358	82532	2346677
1359	82595	2346677
1360	82654	2346563
1361	82712	2346448
1362	82771	2346323
1363	82829	2346201
1364	82887	2346061
1365	82947	2345956
1366	83005	2345834
1367	83064	2345723
1368	83123	2345615
1369	83183	2345517
1370	83242	2345413
1371	83308	2345517
1372	83372	2345543
1373	83433	2345477
1374	83492	2345372
1375	83550	2345248
1376	83609	2345120
1377	83667	2344994
1378	83726	2344882
1379	83785	2344777
1380	83845	2344693
1381	83904	2344590
1382	83964	2344511
1383	84024	2344420
1384	84083	2344310
1385	84142	2344203
1386	84201	2344105
1387	84269	2344244
1388	84333	2344264
1389	84397	2344310
1390	84456	2344190
1391	84514	2344076
1392	84573	2343955
1393	84632	2343852
1394	84690	2343712
1395	84749	2343595
1396	84808	2343505
1397	84867	2343390
1398	84928	2343326
1399	84987	2343219
1400	85045	2343096
1401	85104	2342982
1402	85163	2342870
1403	85222	2342759
1404	85295	2343042
1405	85365	2343251
1406	85438	2343512
1407	85508	2343720
1408	85575	2343829
1409	85638	2343822
1410	85702	2343839
1411	85765	2343854
1412	85830	2343895
1413	85888	2343771
1414	85947	2343667
1415	86005	2343537
1416	86065	2343436
1417	86124	2343344
1418	86184	2343260
1419	86247	2343266
1420	86308	2343204
1421	86371	2343213
1422	86434	2343207
1423	86499	2343265
1424	86559	2343167
1425	86624	2343241
1426	86683	2343140
1427	86743	2343049
1428	86802	2342949
1429	86862	2342850
1430	86920	2342727
1431	86979	2342612
1432	87037	2342487
1433	87095	2342357
1434	87153	2342221
1435	87213	2342137
1436	87277	2342152
1437	87339	2342123
1438	87398	2342018
1439	87457	2341911
1440	87515	2341782
1441	87574	2341675
1442	87633	2341578
1443	87692	2341454
1444	87751	2341350
1445	87809	2341230
1446	87869	2341148
1447	87929	2341053
1448	87987	2340932
1449	88046	2340814
1450	88104	2340690
1451	88164	2340602
1452	88226	2340570
1453	88294	2340713
1454	88362	2340835
1455	88429	2340955
1456	88498	2341106
1457	88559	2341052
1458	88617	2340933
1459	88676	2340824
1460	88735	2340710
1461	88793	2340578
1462	88852	2340479
1463	88912	2340383
1464	88971	2340286
1465	89030	2340174
1466	89089	2340068
1467	89147	2339939
1468	89209	2339915
1469	89269	2339825
1470	89329	2339760
1471	89389	2339666
1472	89448	2339577
1473	89509	2339501
1474	89567	2339378
1475	89626	2339282
1476	89685	2339179
1477	89744	2339065
1478	89803	2338952
1479	89862	2338850
1480	89921	2338746
1481	89980	2338652
1482	90039	2338525
1483	90097	2338415
1484	90159	2338381
1485	90224	2338437
1486	90287	2338429
1487	90352	2338471
1488	90410	2338351
1489	90468	2338224
1490	90527	2338120
1491	90586	2338013
1492	90645	2337898
1493	90704	2337794
1494	90762	2337678
1495	90821	2337559
